Symbol,Name,,,
A,Agilent Technologies Inc. Common Stock,,,
AA,Alcoa Corporation Common Stock ,,,
AAIC,Arlington Asset Investment Corp Class A (new),,,
AAIC^B,Arlington Asset Investment Corp 7.00% ,,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,,,
AAN,Aarons Holdings Company Inc. Common Stock ,,,
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,,,
AAT,American Assets Trust Inc. Common Stock,,,
AB,AllianceBernstein Holding L.P.  Units,,,
ABB,ABB Ltd Common Stock,,,
ABBV,AbbVie Inc. Common Stock,,,
ABC,AmerisourceBergen Corporation Common Stock,,,
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,,
ABG,Asbury Automotive Group Inc Common Stock,,,
ABM,ABM Industries Incorporated Common Stock,,,
ABR,Arbor Realty Trust Common Stock,,,
ABR^A,Arbor Realty Trust Preferred Series A,,,
ABR^B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,,,
ABR^C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,,,
ABT,Abbott Laboratories Common Stock,,,
AC,Associated Capital Group Inc. Common Stock,,,
ACA,Arcosa Inc. Common Stock ,,,
ACB,Aurora Cannabis Inc. Common Shares,,,
ACC,American Campus Communities Inc Common Stock,,,
ACCO,Acco Brands Corporation Common Stock,,,
ACEL,Accel Entertainment Inc. ,,,
ACH,Aluminum Corporation of China Limited American Depositary Shares,,,
ACI,Albertsons Companies Inc. Class A Common Stock,,,
ACIC,Atlas Crest Investment Corp. Class A Common Stock,,,
ACM,AECOM Common Stock,,,
ACN,Accenture plc Class A Ordinary Shares (Ireland),,,
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,,,
ACP,Aberdeen Income Credit Strategies Fund Common Shares,,,
ACR,ACRES Commercial Realty Corp. Common Stock,,,
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,,,
